job_ad_id,job_city,job_industry,job_type,job_fed_contractor,job_equal_opp_employer,job_ownership,job_req_any,job_req_communication,job_req_education,job_req_min_experience,job_req_computer,job_req_organization,job_req_school,firstname,race,gender,years_college,college_degree,honors,worked_during_school,years_experience,computer_skills,special_skills,volunteer,military,employment_holes,has_email_address,resume_quality,received_callback
388,Chicago,business_and_personal_service,secretary,0,1,private,1,1,0,10,1,1,none_listed,Aisha,black,f,4,1,0,0,4,1,1,0,0,1,0,low,0
388,Chicago,business_and_personal_service,secretary,0,1,private,1,1,0,0,1,1,none_listed,Carrie,brown,f,4,1,0,1,4,1,0,0,0,0,0,low,0
389,Chicago,wholesale_and_retail_trade,sales_rep,NA,1,,0,0,0,3,0,0,none_listed,Aisha,black,f,4,1,0,0,5,0,1,1,0,0,1,high,0
389,Chicago,wholesale_and_retail_trade,sales_rep,NA,1,,0,0,0,8,0,0,none_listed,Geoffrey,white,m,1,0,0,0,4,1,1,0,0,0,0,low,0
389,Chicago,wholesale_and_retail_trade,sales_rep,NA,1,,0,0,0,10,0,0,none_listed,Matthew,white,m,4,1,0,1,5,0,0,1,0,0,1,high,0
389,Chicago,wholesale_and_retail_trade,sales_rep,NA,1,,0,0,0,10,0,0,none_listed,Tamika,black,f,4,1,0,0,,0,1,0,,0,0,low,0
390,Chicago,wholesale_and_retail_trade,retail_sales,0,0,private,0,0,0,4,0,0,none_listed,Jill,white,f,4,1,1,1,6,0,1,1,0,0,1,high,0
390,Chicago,wholesale_and_retail_trade,retail_sales,0,0,private,0,0,0,10,0,0,none_listed,Latonya,black,f,2,0,0,0,8,0,0,0,0,1,0,low,0
390,Chicago,wholesale_and_retail_trade,retail_sales,0,0,private,0,0,0,10,0,0,none_listed,Leroy,black,m,4,1,0,1,4,1,1,1,0,0,1,high,0
390,Chicago,wholesale_and_retail_trade,retail_sales,0,0,private,0,0,0,3,0,0,none_listed,Todd,white,m,4,1,0,0,3,1,1,0,0,0,,low,0
392,Chicago,wholesale_and_retail_trade,manager,0,0,,1,0,1,1,0,0,some_college,Allison,white,f,2,0,0,0,2,0,0,0,0,0,0,low,0
391,Chicago,other_service,secretary,1,0,nonprofit,1,0,1,some,1,0,college,Carrie,white,f,4,1,0,0,,1,0,0,0,1,0,low,0
392,Chicago,wholesale_and_retail_trade,manager,0,0,,1,0,1,4,0,0,some_college,Greg,white,m,4,1,0,0,3,1,1,1,0,0,1,high,0
391,Chicago,other_service,secretary,1,0,nonprofit,1,0,1,some,1,0,college,Keisha,black,f,4,1,0,1,6,1,0,0,0,1,0,low,0
392,Chicago,wholesale_and_retail_trade,manager,0,0,,1,0,1,8,0,0,some_college,Keisha,black,f,1,0,0,0,4,1,1,1,0,0,1,high,0
391,Chicago,other_service,secretary,1,0,nonprofit,1,0,1,some,1,0,college,Kristen,white,f,3,0,0,,6,1,1,1,0,,1,high,0
391,Chicago,other_service,secretary,1,0,nonprofit,1,0,1,some,1,0,college,Lakisha,black,f,3,0,0,1,7,1,0,0,0,0,1,high,0
392,Chicago,wholesale_and_retail_trade,manager,0,0,,1,0,1,8,0,0,some_college,Tamika,black,f,4,1,0,0,2,1,1,0,0,0,0,low,0
393,Chicago,finance_insurance_real_estate,secretary,NA,0,,1,0,0,7,1,0,none_listed,Allison,white,f,2,0,0,0,6,1,0,0,0,0,0,low,0
393,Chicago,finance_insurance_real_estate,secretary,NA,0,,1,0,0,10,1,0,none_listed,Keisha,black,f,3,0,0,1,6,1,0,0,,0,0,low,0
393,Chicago,finance_insurance_real_estate,secretary,NA,0,,1,0,0,9,1,0,none_listed,Kristen,white,f,3,0,,0,9,1,0,1,0,1,1,high,0
393,Chicago,finance_insurance_real_estate,secretary,NA,0,,1,0,0,9,1,0,none_listed,Latonya,black,f,4,1,1,1,6,1,,0,0,1,1,high,0
395,Chicago,manufacturing,manager,NA,0,,0,0,0,6,0,0,none_listed,Brad,white,m,2,0,0,0,4,0,0,0,0,0,0,low,0
394,Chicago,business_and_personal_service,clerical,0,1,private,1,1,0,3,1,0,none_listed,Jill,white,f,3,0,0,1,5,1,0,1,0,0,1,high,0
394,Chicago,business_and_personal_service,clerical,0,1,private,1,1,0,3,1,0,none_listed,Keisha,brown,f,4,1,0,0,4,,0,0,0,,0,low,0
395,Chicago,manufacturing,manager,NA,0,,0,0,0,1,0,0,none_listed,Keisha,black,f,4,1,0,0,3,0,1,0,0,0,0,low,0
394,Chicago,business_and_personal_service,clerical,0,1,private,1,1,0,3,1,0,none_listed,Lakisha,black,f,3,0,0,,4,1,0,1,1,0,1,high,0
395,Chicago,manufacturing,manager,NA,0,,0,0,0,1,0,0,none_listed,Laurie,white,f,4,1,0,1,5,0,1,1,0,0,1,high,0
394,Chicago,business_and_personal_service,clerical,0,1,private,1,1,0,3,1,0,none_listed,Meredith,white,f,4,1,1,0,5,1,0,0,,1,0,low,0
395,Chicago,manufacturing,manager,NA,0,,0,0,0,4,0,0,none_listed,Tyrone,black,m,4,1,0,1,5,0,1,1,0,0,1,high,0
396,Chicago,other_service,manager,NA,0,,1,0,1,2,0,0,college,Anne,white,f,4,1,,0,7,1,0,1,0,1,1,high,0
396,Chicago,other_service,manager,NA,0,,1,0,1,2,0,0,college,Emily,white,f,4,1,0,1,6,1,0,0,0,0,0,low,0
396,Chicago,NA,manager,NA,0,,1,0,1,2,0,0,college,Latoya,black,f,4,1,0,0,5,1,1,0,0,1,0,low,0
396,Chicago,other_service,manager,NA,0,,1,0,1,2,0,0,college,Tamika,black,f,3,0,0,0,7,1,0,1,0,1,1,high,0
397,Chicago,wholesale_and_retail_trade,manager,0,0,,0,0,0,5,0,0,none_listed,Brad,white,m,0,0,0,0,4,1,1,1,0,1,1,high,0
397,Chicago,wholesale_and_retail_trade,manager,0,0,,0,0,0,4,0,0,none_listed,Latoya,brown,f,4,1,0,1,5,,1,1,0,0,1,high,0
398,Chicago,other_service,secretary,0,0,public,1,0,0,0,0,0,none_listed,Kristen,white,f,4,1,0,0,4,1,0,0,0,1,0,low,0
398,Chicago,other_service,secretary,0,0,public,1,0,0,4,0,0,none_listed,Latonya,black,f,4,1,0,1,5,1,1,,0,0,1,high,0
398,Chicago,other_service,secretary,0,0,public,1,0,0,9,0,0,none_listed,Latoya,black,f,4,1,0,1,6,1,0,0,0,1,0,low,0
398,Chicago,other_service,secretary,0,0,public,1,0,0,7,0,0,none_listed,Laurie,white,f,4,1,0,1,6,1,0,1,0,0,1,high,0
399,Chicago,finance_insurance_real_estate,secretary,0,0,private,1,0,0,some,0,0,none_listed,Allison,white,f,4,1,0,1,13,1,1,0,0,1,0,low,0
399,Chicago,finance_insurance_real_estate,secretary,0,0,private,1,0,0,some,0,0,none_listed,Ebony,black,f,4,1,1,0,19,1,1,0,0,,0,low,0
400,Chicago,wholesale_and_retail_trade,manager,1,0,private,1,0,0,some,0,0,none_listed,Jay,white,m,2,0,0,1,5,0,0,1,0,0,1,high,0
399,Chicago,finance_insurance_real_estate,secretary,0,0,private,1,0,0,some,0,0,none_listed,Keisha,brown,f,4,1,0,0,7,1,1,0,1,1,1,high,0
399,Chicago,finance_insurance_real_estate,secretary,0,0,private,1,0,0,some,0,0,none_listed,Laurie,white,f,4,1,0,1,21,1,0,0,0,1,1,high,0
400,Chicago,wholesale_and_retail_trade,manager,1,0,private,1,0,0,some,0,0,none_listed,Tyrone,black,m,2,0,0,1,5,0,1,1,0,0,1,high,0
401,Chicago,business_and_personal_service,secretary,NA,1,nonprofit,1,0,1,6,1,0,some_college,Anne,white,f,4,1,0,1,4,1,1,0,0,1,0,low,0
401,Chicago,business_and_personal_service,secretary,NA,1,nonprofit,1,0,1,9,1,0,some_college,Lakisha,black,f,4,1,,1,5,1,1,0,0,0,1,high,0
401,Chicago,business_and_personal_service,secretary,NA,1,nonprofit,1,0,1,0,1,0,some_college,Latonya,black,f,4,1,0,1,6,1,0,0,0,0,0,low,0
401,Chicago,business_and_personal_service,secretary,NA,1,nonprofit,1,0,1,8,1,0,some_college,Meredith,white,f,3,0,0,1,5,1,0,1,0,0,1,high,0
403,Chicago,other_service,manager,0,0,,0,0,0,10,0,0,none_listed,Allison,white,f,0,0,0,0,5,1,1,1,0,0,1,high,0
402,Chicago,manufacturing,secretary,0,1,private,0,0,0,3,,0,none_listed,Carrie,white,f,4,1,0,0,,0,0,0,0,0,0,low,0
403,Chicago,other_service,manager,0,0,,0,0,0,6,,0,none_listed,Ebony,black,f,4,1,0,1,6,0,0,,0,0,1,high,0
402,Chicago,manufacturing,secretary,0,1,private,0,0,0,1,0,0,none_listed,Kenya,brown,f,4,1,0,0,6,1,1,0,0,,0,low,0
402,Chicago,manufacturing,secretary,0,1,private,0,0,0,9,0,0,none_listed,Lakisha,black,f,4,1,1,1,6,1,0,0,0,1,1,high,0
402,Chicago,NA,secretary,0,1,private,0,0,0,5,0,0,none_listed,Laurie,white,f,3,0,0,1,4,1,0,1,1,0,1,high,0
404,Chicago,business_and_personal_service,clerical,0,0,private,1,1,0,4,1,1,none_listed,Aisha,black,f,4,1,0,0,8,1,0,1,0,1,1,high,0
404,Chicago,business_and_personal_service,clerical,0,0,private,1,1,0,3,1,1,none_listed,Anne,white,f,4,1,0,1,5,1,0,0,0,1,0,low,0
405,Chicago,wholesale_and_retail_trade,retail_sales,0,1,,0,0,0,10,0,0,none_listed,Brendan,white,m,4,1,0,0,5,0,1,1,0,0,1,high,0
405,Chicago,wholesale_and_retail_trade,retail_sales,0,1,,0,0,0,2,0,0,none_listed,Hakim,black,m,1,0,0,0,5,1,1,1,0,0,1,high,0
404,Chicago,business_and_personal_service,clerical,0,0,private,1,1,0,9,1,1,none_listed,Latoya,black,f,3,0,0,1,6,1,0,0,0,0,0,low,0
405,Chicago,wholesale_and_retail_trade,retail_sales,0,1,,0,0,0,7,0,0,none_listed,Laurie,white,f,4,1,0,0,5,0,1,0,0,0,0,low,0
404,Chicago,business_and_personal_service,clerical,0,0,private,1,1,0,4,1,1,none_listed,Laurie,white,f,3,0,0,1,3,1,0,1,1,0,1,high,0
405,Chicago,wholesale_and_retail_trade,retail_sales,0,1,,0,0,0,0,0,0,none_listed,Leroy,black,m,4,1,0,0,4,1,1,0,0,0,0,low,0
406,Chicago,manufacturing,secretary,0,1,private,1,1,0,2,1,0,none_listed,Anne,white,f,4,1,0,1,12,1,0,1,0,0,1,high,0
406,Chicago,manufacturing,secretary,0,1,private,1,1,0,2,1,0,none_listed,Kenya,black,f,3,0,0,1,11,1,0,1,0,0,1,high,0
406,Chicago,manufacturing,secretary,0,1,private,1,1,0,2,1,0,none_listed,Latonya,black,f,4,1,1,,9,1,0,0,0,1,0,low,0
406,Chicago,manufacturing,secretary,0,1,private,1,1,0,2,1,0,none_listed,Meredith,white,f,4,1,0,0,10,1,0,0,0,1,0,low,0
407,Chicago,other_service,manager,0,0,nonprofit,1,0,1,3,1,0,college,Jamal,black,m,4,1,0,0,,1,1,0,0,1,0,low,0
407,Chicago,other_service,manager,0,0,nonprofit,1,0,1,3,1,0,college,Matthew,brown,m,4,1,0,0,4,1,1,1,0,1,1,high,0
407,Chicago,other_service,manager,0,0,nonprofit,1,0,1,3,1,0,college,Neil,white,m,4,1,0,1,4,1,,0,0,0,0,low,0
407,Chicago,other_service,manager,0,0,nonprofit,1,0,1,3,,0,college,Tyrone,black,m,4,1,0,1,3,1,0,1,0,1,1,high,0
410,Chicago,wholesale_and_retail_trade,manager,0,0,private,1,0,0,some,,0,none_listed,Leroy,brown,m,2,0,0,0,4,0,1,,0,0,1,high,0
410,Chicago,wholesale_and_retail_trade,manager,0,0,private,1,0,0,some,,0,none_listed,Todd,white,m,2,0,0,1,7,1,0,1,0,1,1,high,1
412,Chicago,wholesale_and_retail_trade,manager,NA,0,,0,0,0,0,,0,none_listed,Brad,white,m,1,0,0,0,3,1,1,0,,0,0,low,0
411,Chicago,other_service,secretary,NA,1,,1,1,0,some,,0,none_listed,Ebony,black,f,4,1,0,1,3,1,0,0,0,0,0,low,0
411,Chicago,other_service,secretary,NA,1,,1,1,0,some,1,0,none_listed,Jill,white,f,4,1,0,0,2,1,0,0,0,1,0,low,0
411,Chicago,other_service,secretary,NA,1,,1,1,0,some,1,0,none_listed,Kristen,white,f,4,1,0,1,4,1,0,0,0,0,1,high,0
412,Chicago,wholesale_and_retail_trade,manager,NA,0,,0,0,0,4,0,0,none_listed,Lakisha,black,f,4,1,1,1,4,0,1,1,0,1,1,high,0
412,Chicago,wholesale_and_retail_trade,manager,NA,0,,0,0,0,1,0,0,none_listed,Matthew,white,m,4,1,0,1,4,1,1,1,1,0,1,high,0
411,Chicago,other_service,secretary,NA,1,,1,1,0,some,1,0,none_listed,Tamika,black,f,4,1,0,1,4,1,1,0,0,0,1,high,0
412,Chicago,wholesale_and_retail_trade,manager,NA,0,,0,0,0,10,0,0,none_listed,Tremayne,black,m,4,1,0,0,2,1,1,0,0,0,0,low,0
413,Chicago,manufacturing,secretary,1,1,public,1,0,0,6,1,0,none_listed,Aisha,black,f,4,1,0,0,10,1,1,1,0,1,1,high,0
414,Chicago,wholesale_and_retail_trade,manager,1,0,private,1,0,0,some,0,0,none_listed,Brett,white,m,2,0,0,1,4,0,0,1,0,1,1,high,1
414,Chicago,NA,manager,1,0,private,1,0,0,some,0,0,none_listed,Darnell,brown,m,2,0,0,1,5,0,1,1,0,0,1,high,0
413,Chicago,manufacturing,secretary,1,1,public,1,0,0,5,1,0,none_listed,Emily,white,f,4,1,0,,11,1,0,1,0,1,1,high,0
413,Chicago,manufacturing,secretary,1,1,public,1,0,0,3,1,0,none_listed,Latonya,black,f,4,1,0,1,3,1,1,0,0,0,0,low,0
413,Chicago,manufacturing,secretary,1,1,public,1,0,0,4,1,0,none_listed,Sarah,white,f,4,1,0,0,2,1,1,0,0,1,0,low,0
415,Chicago,wholesale_and_retail_trade,supervisor,0,1,public,1,0,0,5,1,0,none_listed,Aisha,black,f,4,1,0,1,7,1,0,0,0,0,1,high,0
415,Chicago,wholesale_and_retail_trade,supervisor,0,1,public,1,0,0,5,1,0,none_listed,Anne,white,f,4,1,0,0,7,1,,1,0,1,1,high,0
416,Chicago,wholesale_and_retail_trade,manager,0,0,,1,0,0,2,0,0,none_listed,Jermaine,black,m,4,1,0,1,4,0,0,1,,1,1,high,0
416,Chicago,wholesale_and_retail_trade,manager,0,0,,1,0,0,2,0,0,none_listed,Neil,white,m,4,1,0,1,4,0,1,1,0,0,1,high,0
417,Chicago,other_service,secretary,NA,0,,1,0,1,1,1,0,some_college,Allison,white,f,4,1,0,1,4,1,0,1,0,0,1,high,0
418,Chicago,wholesale_and_retail_trade,manager,0,1,public,1,0,0,some,,0,none_listed,Anne,white,f,4,1,1,1,6,0,1,1,0,,1,high,1
417,Chicago,other_service,secretary,NA,0,,1,0,1,1,,0,some_college,Keisha,black,f,4,1,0,1,6,1,0,1,0,1,1,high,0
418,Chicago,wholesale_and_retail_trade,manager,0,1,public,1,0,0,some,,0,none_listed,Latonya,black,f,4,1,0,1,6,0,1,1,0,1,1,high,1
419,Chicago,wholesale_and_retail_trade,manager,0,0,private,0,0,0,10,,0,none_listed,Latonya,brown,f,4,1,0,1,6,0,1,1,0,0,1,high,0
419,Chicago,wholesale_and_retail_trade,manager,0,0,private,0,0,0,2,,0,none_listed,Laurie,white,f,4,1,0,1,6,0,1,1,1,0,1,high,0
420,Chicago,wholesale_and_retail_trade,manager,1,1,public,1,0,0,2,1,0,none_listed,Jay,white,m,4,1,1,1,6,0,1,1,0,0,1,high,0
420,Chicago,wholesale_and_retail_trade,manager,1,1,public,1,0,0,2,1,0,none_listed,Lakisha,black,f,4,1,0,1,4,0,0,1,0,0,1,high,0
421,Chicago,manufacturing,secretary,0,1,public,1,0,0,1,1,0,none_listed,Anne,white,f,2,0,0,1,23,1,0,1,0,1,0,low,0
421,Chicago,manufacturing,secretary,0,1,public,1,0,0,7,1,0,none_listed,Keisha,black,f,4,1,0,1,5,1,0,0,0,1,0,low,0
421,Chicago,manufacturing,secretary,0,1,public,1,0,0,10,1,0,none_listed,Kristen,brown,f,3,0,0,1,4,1,0,0,0,0,1,high,0
421,Chicago,manufacturing,secretary,0,1,public,1,0,0,3,1,0,none_listed,Lakisha,black,f,4,1,1,1,4,1,0,0,0,1,0,high,0
422,Chicago,manufacturing,supervisor,0,1,private,1,0,0,5,1,0,none_listed,Allison,white,f,3,0,0,0,5,1,0,1,0,1,0,high,0
422,Chicago,manufacturing,supervisor,0,1,private,1,0,0,5,1,0,none_listed,Ebony,black,f,3,0,0,1,5,1,0,1,1,0,1,high,0
422,Chicago,manufacturing,supervisor,0,1,private,1,0,0,5,1,0,none_listed,Keisha,black,f,3,0,0,1,5,1,1,0,0,0,0,low,0
423,Chicago,wholesale_and_retail_trade,manager,0,1,public,1,0,0,some,0,0,none_listed,Kristen,white,f,2,0,0,0,1,0,1,1,0,1,0,low,0
423,Chicago,wholesale_and_retail_trade,manager,0,1,public,1,0,0,some,0,0,none_listed,Lakisha,black,f,4,1,0,0,5,0,1,0,0,0,0,low,0
422,Chicago,manufacturing,supervisor,0,1,private,1,0,0,5,1,0,none_listed,Meredith,white,f,4,1,0,1,5,1,0,0,0,1,0,low,0
425,Chicago,finance_insurance_real_estate,retail_sales,0,0,,1,0,0,some,0,0,none_listed,Allison,white,f,4,1,0,0,5,0,0,0,0,0,0,low,0
424,Chicago,business_and_personal_service,supervisor,0,0,private,1,0,0,5,1,0,none_listed,Kristen,white,f,4,1,0,1,8,1,1,0,0,0,1,high,0
425,Chicago,finance_insurance_real_estate,retail_sales,0,0,,1,0,0,some,0,0,none_listed,Lakisha,black,f,2,0,0,0,4,0,1,0,0,0,0,low,0
424,Chicago,business_and_personal_service,supervisor,0,0,private,1,0,0,5,1,0,none_listed,Lakisha,black,f,4,1,0,0,9,1,1,1,0,1,1,high,0
426,Chicago,wholesale_and_retail_trade,supervisor,NA,0,,1,1,0,some,0,0,none_listed,Tanisha,black,f,4,1,1,1,9,1,1,1,0,0,1,high,1
426,Chicago,wholesale_and_retail_trade,supervisor,NA,0,,1,1,0,some,0,0,none_listed,Todd,white,m,3,0,0,1,5,0,1,1,0,1,1,high,1
428,Chicago,wholesale_and_retail_trade,manager,0,1,private,0,0,0,8,0,0,none_listed,Aisha,black,f,4,1,0,1,6,0,0,1,0,1,1,high,0
427,Chicago,wholesale_and_retail_trade,supervisor,0,1,private,1,0,0,8,1,0,none_listed,Anne,white,f,3,0,0,1,8,1,0,0,0,0,1,high,0
427,Chicago,wholesale_and_retail_trade,supervisor,0,1,private,1,0,0,8,1,0,none_listed,Jill,white,f,4,1,0,1,9,1,0,0,0,1,0,low,0
427,Chicago,wholesale_and_retail_trade,supervisor,0,1,private,1,0,0,8,1,0,none_listed,Latoya,black,f,4,1,0,1,9,1,1,0,0,0,1,high,0
428,Chicago,wholesale_and_retail_trade,manager,0,1,private,0,0,0,9,0,0,none_listed,Neil,white,m,4,1,0,1,5,0,0,1,0,0,1,high,0
427,Chicago,wholesale_and_retail_trade,supervisor,0,1,private,1,0,0,8,1,0,none_listed,Tamika,black,f,4,1,0,0,10,1,0,0,0,1,0,low,0
429,Chicago,other_service,secretary,NA,0,,1,0,0,some,1,0,none_listed,Anne,white,f,4,1,0,1,8,1,0,0,0,0,1,high,0
430,Chicago,business_and_personal_service,manager,0,0,private,1,0,0,2,0,0,none_listed,Geoffrey,white,m,2,0,0,1,6,1,0,1,0,1,1,high,0
429,Chicago,other_service,secretary,NA,0,,1,0,0,some,1,0,none_listed,Latoya,black,f,4,1,0,0,5,1,1,1,0,1,1,high,0
430,Chicago,business_and_personal_service,manager,0,0,private,1,0,0,2,0,0,none_listed,Rasheed,brown,m,2,0,0,1,4,0,1,1,0,0,1,high,0
431,Chicago,manufacturing,supervisor,0,1,private,1,0,1,3,1,0,high_school_grad,Aisha,black,f,3,0,0,1,6,1,0,0,0,0,0,low,0
431,Chicago,manufacturing,supervisor,0,1,private,1,0,1,3,1,0,high_school_grad,Allison,white,f,3,0,0,1,4,1,0,1,1,0,1,high,0
431,Chicago,manufacturing,supervisor,0,1,private,1,0,1,3,1,0,high_school_grad,Carrie,white,f,2,0,0,0,6,1,0,0,0,0,0,low,0
432,Chicago,wholesale_and_retail_trade,manager,NA,0,,1,0,0,2,0,0,none_listed,Ebony,black,f,0,0,0,0,4,1,1,0,0,1,0,low,0
431,Chicago,manufacturing,supervisor,0,1,private,1,0,1,3,1,0,high_school_grad,Kenya,black,f,3,0,0,1,5,1,0,1,0,0,1,high,0
432,Chicago,wholesale_and_retail_trade,manager,NA,0,,1,0,0,2,0,0,none_listed,Kristen,white,f,4,1,0,0,4,0,1,0,0,0,0,low,0
433,Chicago,wholesale_and_retail_trade,manager,0,0,private,0,0,0,5,0,0,none_listed,Jermaine,black,m,2,0,0,0,6,0,0,0,0,0,0,low,0
433,Chicago,wholesale_and_retail_trade,manager,0,0,private,0,0,0,4,0,0,none_listed,Laurie,white,f,2,0,0,0,4,0,1,0,0,0,0,low,0
434,Chicago,other_service,secretary,0,1,,1,0,0,5,1,0,none_listed,Allison,white,f,2,0,0,,7,1,0,1,0,1,0,low,0
434,Chicago,other_service,secretary,0,1,,1,0,0,5,1,0,none_listed,Kristen,white,f,3,0,0,1,9,1,0,0,0,0,1,high,0
434,Chicago,other_service,secretary,0,1,,1,0,0,5,1,0,none_listed,Lakisha,black,f,4,1,1,0,7,1,0,0,0,1,0,low,0
434,Chicago,other_service,secretary,0,1,,1,0,0,5,1,0,none_listed,Latonya,black,f,3,0,0,0,8,1,0,1,0,1,1,high,0
435,Chicago,wholesale_and_retail_trade,manager,0,0,private,1,0,0,some,0,0,none_listed,Brad,brown,m,4,1,0,0,6,1,1,0,0,1,0,low,0
435,Chicago,wholesale_and_retail_trade,manager,0,0,private,1,0,0,some,0,0,none_listed,Leroy,black,m,4,1,0,0,9,,1,0,0,1,0,low,0
436,Chicago,finance_insurance_real_estate,secretary,NA,0,,1,0,0,0,1,0,none_listed,Emily,white,f,3,0,0,0,12,1,0,1,0,1,1,high,0
436,Chicago,finance_insurance_real_estate,secretary,NA,0,,1,0,0,2,1,0,none_listed,Latonya,black,f,2,0,0,0,6,1,0,0,0,0,0,low,0
436,Chicago,finance_insurance_real_estate,secretary,NA,0,,1,0,0,8,1,0,none_listed,Latoya,black,f,4,1,1,1,5,1,0,0,0,1,1,high,0
436,Chicago,finance_insurance_real_estate,secretary,NA,0,,1,0,0,7,1,0,none_listed,Laurie,white,f,4,1,0,0,7,1,0,,0,1,0,low,0
438,Chicago,business_and_personal_service,retail_sales,0,0,,1,1,0,5,0,0,none_listed,Aisha,black,f,4,1,0,0,14,0,0,0,0,0,1,high,0
437,Chicago,business_and_personal_service,manager,0,0,private,1,0,0,some,1,0,none_listed,Allison,white,f,4,1,0,1,12,1,0,0,0,1,0,low,0
437,Chicago,business_and_personal_service,manager,0,0,private,1,0,0,some,1,0,none_listed,Ebony,black,f,4,1,0,0,7,1,1,0,1,1,1,high,0
438,Chicago,business_and_personal_service,retail_sales,0,0,,1,1,0,5,0,0,none_listed,Jermaine,black,m,3,0,0,0,3,0,1,0,0,,0,low,0
438,Chicago,business_and_personal_service,retail_sales,0,0,,1,1,0,6,0,0,none_listed,Kristen,white,f,2,0,0,0,1,0,1,0,0,0,0,low,0
437,Chicago,business_and_personal_service,manager,0,0,private,1,0,0,some,1,0,none_listed,Latonya,black,f,4,1,1,0,5,1,0,0,0,1,0,low,0
437,Chicago,business_and_personal_service,manager,0,0,private,1,0,0,some,1,0,none_listed,Laurie,white,f,4,1,0,1,21,1,0,0,0,1,1,high,0
438,Chicago,business_and_personal_service,retail_sales,0,0,,1,1,0,7,0,0,none_listed,Laurie,white,f,4,1,0,0,2,1,1,0,0,1,1,high,0
439,Chicago,manufacturing,clerical,NA,0,private,1,0,0,1,1,0,none_listed,Anne,white,f,4,1,0,0,7,1,0,0,0,1,0,low,0
440,Chicago,business_and_personal_service,sales_rep,0,1,,0,0,0,3,0,0,none_listed,Brendan,white,m,4,1,0,0,10,1,0,0,0,1,1,high,1
440,Chicago,business_and_personal_service,sales_rep,0,1,,0,0,0,8,0,0,none_listed,Kareem,black,m,4,1,0,0,10,0,1,0,0,1,1,high,0
439,Chicago,manufacturing,clerical,NA,0,private,1,0,0,1,1,0,none_listed,Keisha,black,f,3,0,0,0,7,1,0,1,0,1,1,high,0
440,Chicago,business_and_personal_service,sales_rep,0,1,,0,0,0,7,0,0,none_listed,Matthew,white,m,4,1,0,0,6,1,1,0,1,1,0,low,1
439,Chicago,manufacturing,clerical,NA,0,private,1,0,0,10,1,0,none_listed,Meredith,white,f,4,1,1,1,6,1,0,0,0,1,1,high,0
439,Chicago,manufacturing,clerical,NA,0,private,1,0,0,0,1,0,none_listed,Tanisha,black,f,2,0,0,0,6,1,0,0,0,0,0,low,0
440,Chicago,business_and_personal_service,sales_rep,0,1,,0,0,0,10,0,0,none_listed,Tanisha,black,f,3,0,0,1,11,1,1,0,0,1,0,low,1
125,Boston,business_and_personal_service,manager,0,1,private,1,0,0,3,0,0,none_listed,Aisha,brown,f,4,1,0,1,14,1,1,1,0,0,0,high,0
125,Boston,business_and_personal_service,manager,0,1,private,1,0,0,3,0,0,none_listed,Allison,white,f,4,1,0,0,8,1,0,0,0,0,0,low,0
73,Boston,wholesale_and_retail_trade,manager,0,1,private,1,0,0,3,0,0,none_listed,Allison,white,f,4,1,0,0,18,1,0,1,0,0,0,high,0
